NM_001003933.2,Rtn3,mRNA
NM_001003934.2,Rtn3,mRNA
NM_001003939.2,Ttc41,mRNA
NM_001003947.2,Cyp4x1,mRNA
NM_001003948.2,Pid1,mRNA
NM_001003949.4,Tmem259,mRNA
NM_001003950.3,Rab3ip,mRNA
NM_001003951.3,Ces5a,mRNA
NM_001003952.1,Sval3,mRNA
NM_001003953.2,Kdm2b,mRNA
NM_001003955.2,Rab11fip5,mRNA
NM_001003960.4,Dnmt3b,mRNA
NM_001003961.4,Dnmt3b,mRNA
NM_001003963.4,Dnmt3b,mRNA
NM_001003972.2,Senp7,mRNA
NM_001003973.2,Senp7,mRNA
NM_001004025.4,Ppp3r2,mRNA
NM_001004061.2,Fam170a,mRNA
NM_001004062.2,Crtc1,mRNA
NM_001004066.3,Zfp386,mRNA
NM_001004139.2,Zfp619,mRNA
NM_001004140.2,Ckap2,mRNA
NM_001004141.2,Cyp2j11,mRNA
NM_001004142.2,Nlrp1a,mRNA
NM_001004143.4,Usp22,mRNA
NM_001004144.1,Git1,mRNA
NM_001004145.3,Nlrp4g,mRNA
NM_001004147.3,Fbll1,mRNA
NM_001004148.4,Slc13a5,mRNA
NM_001004149.1,Zfp366,mRNA
NM_001004150.4,A4galt,mRNA
NM_001004151.2,Rtp1,mRNA
NM_001004152.3,Psg22,mRNA
NM_001004153.2,AU018091,mRNA
NM_001004154.2,Rragb,mRNA
NM_001004155.2,9930012K11Rik,mRNA
NM_001004157.2,Scarf1,mRNA
NM_001004158.2,Gm5142,mRNA
NM_001004159.2,Clec4b2,mRNA
NM_001004164.3,Gnptab,mRNA
NM_001004173.2,Sgpp2,mRNA
NM_001004174.2,AA467197,mRNA
NM_001004176.2,Maml3,mRNA
NM_001004177.3,Celsr2,mRNA
NM_001004178.1,Frg2f1,mRNA
NM_001004180.1,Fam222a,mRNA
NM_001004182.4,Tmem178b,mRNA
NM_001004184.3,Slc28a1,mRNA
NM_001004185.3,Whamm,mRNA
NM_001004187.1,Rexo5,mRNA
NM_001004190.3,Zfp560,mRNA
NM_001004191.3,Gm5617,mRNA
NM_001004192.2,BC048562,mRNA
NM_001004193.3,Rhox8,mRNA
NM_001004194.2,Nlrp4e,mRNA
NM_001004293.2,Amigo1,mRNA
NM_001004357.2,Cntnap2,mRNA
NM_001004359.2,Gprasp1,mRNA
NM_001004361.2,Tpgs2,mRNA
NM_001004362.2,2610008E11Rik,mRNA
NM_001004363.2,Nuak1,mRNA
NM_001004364.2,Asap2,mRNA
NM_001004365.2,Actr3b,mRNA
NM_001004366.2,Scube3,mRNA
NM_001004367.4,Cxxc4,mRNA
NM_001004435.3,Pik3r6,mRNA
NM_001004436.4,Wapl,mRNA
NM_001004455.2,Cys1,mRNA
NM_001004468.3,Tacc2,mRNA
NM_001004721.1,Pigu,mRNA
NM_001004761.1,Gpr158,mRNA
NM_001004762.3,Pla2g4c,mRNA
NM_001005223.3,Znhit3,mRNA
NM_001005225.2,Olfr1197,mRNA
NM_001005227.2,Olfr1200,mRNA
NM_001005230.2,Olfr1024,mRNA
NM_001005232.1,Dbx1,mRNA
NM_001005247.2,Hps5,mRNA
NM_001005248.2,Hps5,mRNA
NM_001005341.3,Ypel2,mRNA
NM_001005342.2,Ypel4,mRNA
NM_001005343.2,Sp9,mRNA
NM_001005358.2,Zfp960,mRNA
NM_001005370.1,Spin2c,mRNA
NM_001005371.3,Pramel26,mRNA
NM_001005385.1,Gprasp1,mRNA
NM_001005419.2,Ado,mRNA
NM_001005420.2,Ppp1r26,mRNA
NM_001005421.4,Jaml,mRNA
NM_001005422.1,Stmnd1,mRNA
NM_001005423.2,Mreg,mRNA
NM_001005424.2,Ajm1,mRNA
NM_001005425.2,Zfp663,mRNA
NM_001005426.2,Zcwpw1,mRNA
NM_001005475.2,Iqsec2,mRNA
NM_001005477.1,Barhl2,mRNA
NM_001005481.1,Olfr132,mRNA
NM_001005485.2,Olfr111,mRNA
NM_001005488.1,Olfr467,mRNA
NM_001005506.3,Txlna,mRNA
NM_001005507.2,Smg7,mRNA
NM_001005508.2,Arhgap30,mRNA
NM_001005509.2,Eif2a,mRNA
NM_001005510.2,Syne2,mRNA
NM_001005511.4,Lmtk3,mRNA
NM_001005520.2,Olfr231,mRNA
NM_001005524.2,Olfr194,mRNA
NM_001005525.2,Rsrc2,mRNA
NM_001005568.1,Olfr1281,mRNA
NM_001005569.1,Olfr366,mRNA
NM_001005570.2,Olfr707,mRNA
NM_001005605.2,Aebp2,mRNA
NM_001005608.2,Itgb4,mRNA
NM_001005740.1,Phactr1,mRNA
NM_001005748.2,Phactr1,mRNA
NM_001005767.4,Parl,mRNA
NM_001005784.1,Patj,mRNA
NM_001005787.1,Patj,mRNA
NM_001005788.3,Zfp69,mRNA
NM_001005846.2,Mcoln2,mRNA
NM_001005847.2,Aga,mRNA
NM_001005854.2,Gm609,mRNA
NM_001005858.3,Ifit3b,mRNA
NM_001005859.3,Rpl34,mRNA
NM_001005860.2,Clec4a4,mRNA
NM_001005863.2,Mtus1,mRNA
NM_001005864.3,Mtus1,mRNA
NM_001005865.3,Mtus1,mRNA
NM_001005867.1,Zmiz2,mRNA
NM_001005868.2,Erbin,mRNA
NM_001005916.2,Zbtb9,mRNA
NM_001006664.3,Epb41l1,mRNA
NM_001006668.2,Kcnq2,mRNA
NM_001006669.2,Kcnq2,mRNA
NM_001006674.2,Kcnq2,mRNA
NM_001007077.2,Pramel25,mRNA
NM_001007154.3,Phactr3,mRNA
NM_001007220.3,Adam22,mRNA
NM_001007221.3,Adam22,mRNA
NM_001007222.3,Tdpoz2,mRNA
NM_001007223.3,Clec3a,mRNA
NM_001007266.1,Taar2,mRNA
NM_001007268.1,Dusp13,mRNA
NM_001007460.2,Zdhhc23,mRNA
NM_001007461.2,Gsdma3,mRNA
NM_001007462.1,Pabpn1l,mRNA
NM_001007463.2,Spag8,mRNA
NM_001007465.3,Rffl,mRNA
NM_001007472.2,Noto,mRNA
NM_001007567.2,Slc7a6os,mRNA
NM_001007568.2,Zfp251,mRNA
NM_001007569.2,Pnmal1,mRNA
NM_001007570.2,Slc25a42,mRNA
